Id: 30500, Name: XM5E1 "Maplestrike", Selling: 6000.00
Id: 30501, Name: Iron Sights, Selling: 0.00
Id: 30502, Name: XM5E1 Stock, Selling: 0.00
Id: 30503, Name: XM5E1 "Maplestrike" SOP1, Selling: 0.00
Id: 30504, Name: Navy Stock, Selling: 0.00
Id: 30505, Name: XM5E1 "Maplestrike" SOP2, Selling: 0.00
Id: 30506, Name: Navy Stock, Selling: 0.00
Id: 30507, Name: AR-16 "Skullcrusher", Selling: 9000.00
Id: 30508, Name: Skinner Soild Stock, Selling: 0.00
Id: 30509, Name: CAR-825 Al-Haitham, Selling: 0.00
Id: 30510, Name: Desert Raider Stock, Selling: 0.00
Id: 30511, Name: AZ-102 "Timiknakov", Selling: 10000.00
Id: 30512, Name: Zhrek-M Polymer Stock, Selling: 0.00
Id: 30513, Name: AZ-102 "Timiknakov" Summit, Selling: 0.00
Id: 30514, Name: Summit PT-3 Stock, Selling: 0.00
Id: 30515, Name: AZ-79M "Zolashnakov", Selling: 3000.00
Id: 30516, Name: Zhrek-M Polymer Stock, Selling: 0.00
Id: 30517, Name: AZ-79M "Zolashnakov" Hex, Selling: 0.00
Id: 30518, Name: Hexagon Stock, Selling: 0.00
Id: 30519, Name: SAR "Valentine", Selling: 7000.00
Id: 30520, Name: Valentine Skeleton Stock, Selling: 0.00
Id: 30521, Name: SAR "Valentine" Summit, Selling: 12000.00
Id: 30522, Name: ENSAS "Excalibur", Selling: 7000.00
Id: 30523, Name: ENSAS Polymer Stock, Selling: 0.00
Id: 30524, Name: NUG-P, Selling: 7000.00
Id: 30525, Name: NUG-A3, Selling: 9000.00
Id: 30526, Name: Uzy "Bullfrog", Selling: 0.00
Id: 30527, Name: M1923 "Tommie", Selling: 0.00
Id: 30528, Name: AZS-79U "Krinknakov", Selling: 0.00
Id: 30529, Name: Zhrek Skeleton Stock, Selling: 0.00
Id: 30530, Name: PPZ-20 "Yurinakov", Selling: 0.00
Id: 30531, Name: M93 "Trencher", Selling: 1000.00
Id: 30532, Name: GPAS-14 "Breacher", Selling: 1500.00
Id: 30533, Name: AL-E "Libitina", Selling: 0.00
Id: 30534, Name: AL Military Stock, Selling: 0.00
Id: 30535, Name: Arctic Legion Stock, Selling: 0.00
Id: 30536, Name: M76 "Arbiter", Selling: 0.00
Id: 30537, Name: XM21A "Executioner", Selling: 7000.00
Id: 30538, Name: Redfield National Match Stock, Selling: 0.00
Id: 30539, Name: Skinner EBR Stock, Selling: 0.00
Id: 30540, Name: AG-V45 Al-Yaqub, Selling: 0.00
Id: 30541, Name: Al-Yaqub Standard Stock, Selling: 0.00
Id: 30542, Name: Al-Yaqub Modernized Stock, Selling: 0.00
Id: 30543, Name: BR-16 "Willow", Selling: 0.00
Id: 30544, Name: Iron Sights, Selling: 0.00
Id: 30545, Name: Iron Sights, Selling: 0.00
Id: 30546, Name: Skinner Heavy Stock, Selling: 0.00
Id: 30547, Name: R10 "Richmond", Selling: 10000.00
Id: 30548, Name: Iron Sights, Selling: 0.00
Id: 30549, Name: LAR-58 "Weasel", Selling: 0.00
Id: 30550, Name: LAR-58 "Weasel" OSW, Selling: 0.00
Id: 30551, Name: MG43V "Knochensage", Selling: 7000.00
Id: 30552, Name: PZMN "Colddew", Selling: 7000.00
Id: 30553, Name: PZMN Stable Stock, Selling: 0.00
Id: 30554, Name: PZMN "Colddew" Summit, Selling: 7000.00
Id: 30555, Name: SAR Silencer, Selling: 0.00
Id: 30556, Name: Iron Sights, Selling: 0.00
Id: 36001, Name: UPhone XV, Selling: 0.00
Id: 36002, Name: Grenade Launcher, Selling: 0.00
Id: 36003, Name: Barbed Wire, Selling: 55.00
Id: 36004, Name: Frost Barbed Wire Static #2, Selling: 0.00
Id: 36005, Name: Frost Barbed Wire Static #1, Selling: 0.00
Id: 36006, Name: Smoke Grenade, Selling: 0.00
Id: 36007, Name: Handheld Rangefinder, Selling: 0.00
Id: 36008, Name: 2000m range, Selling: 0.00
Id: 36009, Name: Copper Coil, Selling: 0.00
Id: 36010, Name: Industrial Copper Coil, Selling: 0.00
Id: 36011, Name: Scrap Metal, Selling: 50.00
Id: 36012, Name: Military Drive, Selling: 0.00
Id: 36013, Name: 57mm Cannon, Selling: 0.00
Id: 36014, Name: 57mm Shells, Selling: 0.00
Id: 36015, Name: Polaris Rose, Selling: 0.00
Id: 36016, Name: Wood, Selling: 15.00
Id: 36017, Name: Cyan Crystal, Selling: 0.00
Id: 36018, Name: Helmet, Selling: 100.00
Id: 36019, Name: Vest, Selling: 0.00
Id: 36020, Name: Boss Top, Selling: 100.00
Id: 36021, Name: Snowberry, Selling: 30.00
Id: 36022, Name: Crushed Snowberry, Selling: 60.00
Id: 36023, Name: Snowberry Seeds, Selling: 15.00
Id: 36024, Name: Carrot, Selling: 30.00
Id: 36025, Name: Carrot Seeds, Selling: 15.00
Id: 36026, Name: Wheat, Selling: 0.00
Id: 36027, Name: Wheat Seeds, Selling: 15.00
Id: 36028, Name: Axe, Selling: 100.00
Id: 36029, Name: Wooden Pickaxe, Selling: 80.00
Id: 36030, Name: Wooden Axe, Selling: 80.00
Id: 36031, Name: Military Nightvision, Selling: 300.00
Id: 36032, Name: Pickaxe, Selling: 100.00
Id: 36033, Name: Loaf of Bread, Selling: 0.00
Id: 36034, Name: Moldy Loaf of Bread, Selling: 0.00
Id: 36035, Name: Fishing Rod, Selling: 200.00
Id: 36036, Name: Wooden Rod, Selling: 75.00
Id: 36037, Name: Seaward Fisher, Selling: 400.00
Id: 36038, Name: Chainsaw, Selling: 120.00
Id: 36039, Name: Jackhammer, Selling: 180.00
Id: 36040, Name: Sharpsman Rod, Selling: 0.00
Id: 36041, Name: Gasmask, Selling: 0.00
Id: 36042, Name: Military Vest, Selling: 200.00
Id: 36043, Name: Military Helmet, Selling: 100.00
Id: 36044, Name: Military Top, Selling: 80.00
Id: 36045, Name: Cloth, Selling: 15.00
Id: 36046, Name: Military Bottom, Selling: 55.00
Id: 36047, Name: Balaclava, Selling: 30.00
Id: 36048, Name: Military Backpack, Selling: 400.00
Id: 36049, Name: Filter , Selling: 0.00
Id: 36050, Name: Broken Gasmask, Selling: 0.00
Id: 36051, Name: Glasses, Selling: 25.00
Id: 36052, Name: Police Vest, Selling: 120.00
Id: 36053, Name: Police Helmet, Selling: 70.00
Id: 36054, Name: Police Backpack, Selling: 100.00
Id: 36055, Name: Police Bottom, Selling: 50.00
Id: 36056, Name: Police Top, Selling: 70.00
Id: 36057, Name: Snorkel, Selling: 75.00
Id: 36058, Name: Snorkel, Selling: 75.00
Id: 36059, Name: Snorkel, Selling: 75.00
Id: 36060, Name: Snorkel, Selling: 75.00
Id: 36061, Name: Snorkel, Selling: 75.00
Id: 36062, Name: Diving Tank, Selling: 0.00
Id: 36064, Name: Message in a Bottle, Selling: 0.00
Id: 36065, Name: Torn Note, Selling: 20.00
Id: 36066, Name: Raw Fish Meat, Selling: 10.00
Id: 36067, Name: Cooked Fish Meat, Selling: 25.00
Id: 36068, Name: Sakhalin Fish, Selling: 0.00
Id: 36069, Name: Highland Fish, Selling: 0.00
Id: 36070, Name: Clownfish, Selling: 0.00
Id: 36071, Name: Goldfish, Selling: 0.00
Id: 36072, Name: Black Sakana, Selling: 0.00
Id: 36073, Name: Trout, Selling: 0.00
Id: 36074, Name: Salmon, Selling: 0.00
Id: 36075, Name: Eel, Selling: 0.00
Id: 36076, Name: Swordfish, Selling: 0.00
Id: 36077, Name: Jerry Can, Selling: 300.00
Id: 36078, Name: Large Jerry Can, Selling: 1500.00
Id: 36079, Name: Snowberry Jam Sandwich, Selling: 15.00
Id: 36080, Name: Raw Meat, Selling: 10.00
Id: 36081, Name: Cooked Meat, Selling: 25.00
Id: 36082, Name: Fish Sandwich, Selling: 15.00
Id: 36083, Name: Meat Sandwich, Selling: 15.00
Id: 36084, Name: Leather, Selling: 10.00
Id: 36085, Name: Leather Bundle, Selling: 100.00
Id: 36086, Name: Saw, Selling: 50.00
Id: 36087, Name: Makeshift Jerry Can, Selling: 300.00
Id: 36088, Name: Rope, Selling: 15.00
Id: 36089, Name: HMG Beeb, Selling: 0.00
Id: 36090, Name: Blowtorch, Selling: 150.00
Id: 36091, Name: Wrench, Selling: 75.00
Id: 36092, Name: Mechanical Lotus, Selling: 0.00
Id: 36093, Name: Monocle, Selling: 25.00
Id: 36094, Name: Penguin, Selling: 0.00
Id: 36096, Name: Top, Selling: 40.00
Id: 36097, Name: Ghost, Selling: 0.00
Id: 36098, Name: Shop, Selling: 0.00
Id: 36099, Name: Invisibility, Selling: 0.00
Id: 36100, Name: Pepperoni Pizza Slice, Selling: 0.00
Id: 36101, Name: Bronze Coin, Selling: 0.00
Id: 36102, Name: Silver Coins, Selling: 0.00
Id: 36103, Name: Gold Coins, Selling: 0.00
Id: 36104, Name: Gold Nugget, Selling: 0.00
Id: 36105, Name: Gold Ingot, Selling: 0.00
Id: 36106, Name: Navy Beret, Selling: 60.00
Id: 36107, Name: Black Beret, Selling: 60.00
Id: 36108, Name: Green Beret, Selling: 60.00
Id: 36109, Name: Orange Beret, Selling: 60.00
Id: 36110, Name: Pink Beret, Selling: 60.00
Id: 36111, Name: Red Beret, Selling: 60.00
Id: 36112, Name: White Beret, Selling: 60.00
Id: 36113, Name: Yellow Beret, Selling: 60.00
Id: 36114, Name: Blue Beret, Selling: 60.00
Id: 36115, Name: Aqua Beret, Selling: 60.00
Id: 36116, Name: Purple Beret, Selling: 60.00
Id: 36117, Name: Frost Campfire Static #1, Selling: 0.00
Id: 36118, Name: Fertilizer, Selling: 20.00
Id: 36119, Name: Cloth Seeds, Selling: 20.00
Id: 36120, Name: Metal Seeds, Selling: 35.00
Id: 36121, Name: Metal Chunks, Selling: 25.00
Id: 36122, Name: ATM, Selling: 0.00
Id: 36123, Name: XP Book, Selling: 0.00
Id: 36124, Name: Moses, Selling: 0.00
Id: 36125, Name: NP553 "Baal", Selling: 0.00
Id: 36126, Name: Iron Sights, Selling: 25.00
Id: 36127, Name: Wooden Moses Stock, Selling: 50.00
Id: 36128, Name: Refurbished Moses Stock, Selling: 50.00
Id: 36129, Name: Refurbished Moses Stock, Selling: 50.00
Id: 36130, Name: 7.62mm Magazine, Selling: 450.00
Id: 36131, Name: 7.62mm Box, Selling: 250.00
Id: 36132, Name: Military Top, Selling: 0.00
Id: 36133, Name: Military Bottom, Selling: 0.00
Id: 36134, Name: Military Vest, Selling: 0.00
Id: 36135, Name: Military Helmet, Selling: 0.00
Id: 36136, Name: Balaclava, Selling: 0.00
Id: 36137, Name: Military Backpack, Selling: 0.00
Id: 36138, Name: Grenade, Selling: 0.00
Id: 36139, Name: M349 "Penumbra", Selling: 10000.00
Id: 36140, Name: 5.56mm Box, Selling: 400.00
Id: 36141, Name: Iron Sights, Selling: 25.00
Id: 36142, Name: M349 "Penumbra" Stock, Selling: 50.00
Id: 36143, Name: RAID Muzzle Brake, Selling: 75.00
Id: 36144, Name: BVL Muzzle Brake, Selling: 75.00
Id: 36145, Name: B-3 Compensator, Selling: 75.00
Id: 36146, Name: REAPER Compensator, Selling: 75.00
Id: 36147, Name: DASH-2 Sound Suppressor, Selling: 70.00
Id: 36148, Name: K&R Octagon Suppressor, Selling: 70.00
Id: 36149, Name: K&R Decagon Suppressor, Selling: 70.00
Id: 36150, Name: F-11 "FÃƒÂ¤lscher", Selling: 0.00
Id: 36151, Name: 5.56mm Drum, Selling: 600.00
Id: 36152, Name: 5.56mm Magazine, Selling: 150.00
Id: 36153, Name: Mercenary Bottom, Selling: 500.00
Id: 36154, Name: Mercenary Top, Selling: 500.00
Id: 36155, Name: Bevlar, Selling: 100.00
Id: 36156, Name: SWAT Bottom, Selling: 400.00
Id: 36157, Name: SWAT Top, Selling: 400.00
Id: 36158, Name: Mercenary Backpack, Selling: 500.00
Id: 36159, Name: SWAT Backpack, Selling: 400.00
Id: 36160, Name: Mercenary Helmet, Selling: 500.00
Id: 36161, Name: SWAT Helmet, Selling: 400.00
Id: 36162, Name: Mercenary Vest, Selling: 500.00
